source,target,weight
ER,PPP1R36,0.702171309842561
ER,MYBPC3,0.50159682770066
ER,KRT35,-0.158995409361956
ER,HHIP,1.69568488369808
ER,SIAH3,0.187327306837711
ER,DSCAML1,0.0608571106091917
ER,SLC1A2,0.0471050889416401
ER,UNC79,-0.17134119785358
ER,NPHP1,-0.302221822276409
ER,PLD4,0.266422801427542
ER, MARCH7,0.917025920501004
ER,CD93,0.595732011745151
ER,HGF,-0.322683517163721
ER,OLFML1,1.20566314816635
ER,FER1L6,-0.08082126219894
ER,C11orf87,-0.180410691760386
ER,CD1A,-0.514688878847038
ER,PCDH9,0.681198164333763
ER,ALPP,1.82018752940863
ER,ANK3,-0.63317026276871
ER,ALOX15,-0.524151176488134
ER,TDRD15,0.361890896216085
ER,CLYBL,0.0555513047283555
ER,LEPR,0.980711080325759
ER,POU3F1,-0.129261072699565
ER,COL20A1,0.159010143192971
ER,ST8SIA2,0.098187033140708
ER,TXNL1,-0.471530045103239
ER,DSC1,0.155817178123064
ER,PHEX,-0.144622368425248
ER,VAX1,-0.142539231624545
ER,PDE4D,-0.334898218199141
ER,GCNT4,-0.186202655967556
ER,NRAP,-0.405789991908722
ER,MUC12,0.364401329563701
ER,KIAA1683,-0.0258548723742795
ER,C5,0.0306334746765268
ER,ESR1,-0.131449536192877
ER,SOX5,-0.578890852007057
ER,TNR,-0.149171798796667
ER,GPR35,-0.180184935775076
ER,SERPINB11,-0.309621496201478
ER,LHFPL2,0.650094878355929
ER,ALOX15B,0.108326521914371
ER,NECAP2,0.483700192159266
ER,PKD1L3,-0.115847644853561
ER,CNTN1,0.261367442962502
ER,LYRM9,-0.198978894074909
ER,CMYA5,-0.0574749147369302
ER,UGT1A7,-0.0944053579437985
ER,INSRR,0.0674390661538978
ER,IMPG2,-0.580779069010642
ER,KCNH1,-0.160960161973361
ER,COL4A4,1.41009205142973
ER,GRIN2B,0.962166711683639
ER,NPAS3,-0.00474672740538954
ER,COL1A2,0.495930581923727
ER,SLC13A1,0.430543427614341
ER,C2orf54,-0.0885860229234863
