radius,angle,channel
9.814886654226811,-2.2300460069438217,black
9.764509618311324,-2.192662726187443,black
9.718164751627762,-2.179603873027587,black
9.589361101934896,-2.110239407581017,black
9.758892449699138,-2.279190472569839,black
9.471378314025939,-2.0051040761015053,black
9.374386308762075,-1.8153453492444802,black
9.61725597585077,-2.191356341770676,black
9.404142887082646,-1.9229501346825295,black
9.295488661534035,-1.503419812677683,black
9.450946365830566,-2.1172473690952573,black
9.34851040677408,-1.9956305407996435,black
9.197682412200349,-1.5992306932378122,black
9.20121616114747,-1.682634511198401,black
9.135448525205243,-1.499066969420876,black
9.167961457061988,-1.3476303621993253,black
9.274639267343042,-2.0123732951056037,black
9.304090635787839,-2.0701332340022454,black
9.137438845248264,-1.7795161142940843,black
9.164560076020205,-1.9058442522155492,black
8.979252230458885,-1.4490231053572036,black
8.917327531385157,-1.6177521798126528,black
8.969467467220117,-1.1985786804483813,black
9.036492700348392,-2.066331651293964,black
8.915125799215119,-1.88608152871809,black
8.709937552984062,-1.4551809590063263,black
8.741510490309103,-1.27123791169525,black
8.640930254547998,-1.8569946654260043,black
8.735422500243532,-1.0655227153659166,black
8.502213027899453,-1.6915939787554075,black
8.620821473928723,-1.1177598601035865,black
8.444305673536732,-1.3646303319573305,black
8.290046647007781,-1.8249372765290233,black
8.431287683707712,-2.111520905689748,black
8.171106735524562,-1.302868191698633,black
8.088377314488506,-1.6986151439998092,black
8.204992890526857,-1.0637003962776967,black
7.956964361328499,-2.0280294314871687,black
8.112729834448787,-0.8177089950660161,black
7.644918833441348,-1.342454559047432,black
7.6416577633122795,-1.1841292652180104,black
7.322117671393335,-1.6001348820338819,black
7.361506789946436,-0.8915721655258295,black
6.92269472054398,-1.8694254349186818,black
7.618132719531536,-0.5219502249079775,black
4.967859166082932,-0.5724458115650628,black
7.455213416494884,-0.0453305613934351,black
6.935531682211039,-0.040467866340006146,black
6.0971187949585035,0.959203926455013,black
7.650423056843682,0.35612883592280853,black
7.223962048134355,0.7605253332583708,black
7.7728930569818635,0.7068903033533473,black
7.547177775271624,1.2425029134952397,black
7.837506501000467,1.0923591933165702,black
8.032306350263786,0.9639118486054544,black
8.13438379477091,1.2323105064909077,black
8.469367504111249,1.088771295902764,black
8.45617794731106,1.266271485326573,black
8.671353203222948,1.3019151778202254,black
8.94002368696164,1.2188640528041983,black
8.939380462192569,1.2852091843116098,black
9.103790588747321,1.1864309280768508,black
9.115863826614326,1.2833248458596092,black
9.220870370125255,1.1727267447618852,black
9.33339725589806,1.2255781457624249,black
9.364542940233395,1.293737452322275,black
9.478709978963899,1.1776837352802092,black
9.514918993366837,1.2404571528998574,black
9.568378053349132,1.3024393458166972,black
9.650686651616788,1.2317857519192246,black
9.688685251986746,1.3331134363971884,black
9.760278982028776,1.3151410333026596,black
9.91910952693793,1.351829677466928,black
9.281901196825459,-1.6410468428094172,cyan
9.269607907764987,-1.5994683444586026,cyan
9.284235668778537,-1.726508668531771,cyan
9.265550874508895,-1.5296685456990045,cyan
9.269598974593968,-1.8007729040307898,cyan
9.241831623890636,-1.436096334592969,cyan
9.236276706866546,-1.6882824197125417,cyan
9.21914372570112,-1.5820284879447015,cyan
9.219674622539767,-1.6357422096734544,cyan
9.254110117928267,-1.8729333216957167,cyan
9.181152082475235,-1.409362377484375,cyan
9.154935922316339,-1.5088215655422346,cyan
9.188042438600899,-1.860624878336949,cyan
9.134673234982872,-1.3805263434231294,cyan
9.129023264226046,-1.95082718428112,cyan
9.041153831165316,-1.3247719599173884,cyan
9.050869934857849,-1.9486999875310749,cyan
8.96190259278594,-1.838064766733363,cyan
8.97338074314338,-2.009917014855735,cyan
8.89186394762544,-1.251065856608796,cyan
8.921040044088308,-1.1628476692211478,cyan
8.791966643082086,-1.4160762915709006,cyan
8.855839132478042,-1.212886930409055,cyan
8.871408534825045,-1.9784924253482064,cyan
8.772789309455606,-1.1484064678126047,cyan
8.734760473631717,-2.0349016969157416,cyan
8.66790331371667,-1.13061575387928,cyan
8.459982238835419,-1.7584556085961844,cyan
8.63490087427903,-1.0456180741131709,cyan
8.519016194980939,-1.9703198555035992,cyan
8.570269738443978,-2.0631979054896665,cyan
8.421849884097472,-1.0240394159890174,cyan
8.32504759436116,-1.9973914130106363,cyan
8.153513742025568,-2.016280734153086,cyan
8.268437179263897,-0.93419188054483,cyan
7.9551630954714065,-1.529256220334482,cyan
7.877333370805664,-2.0086430075670867,cyan
7.99046203107789,-0.8735032234772472,cyan
7.4167447848628765,-1.8112672837171662,cyan
7.259645314144574,-1.8804335165016655,cyan
7.775486905787976,-0.7228985148811954,cyan
7.427913427420332,-0.7387584233502066,cyan
6.778888995690616,-1.272184986868184,cyan
7.0321697141185435,-0.8808763254170421,cyan
6.528673335791045,-1.4807124428791176,cyan
6.499130930439137,-1.0841093811972473,cyan
7.341533170948241,-0.4873588050348468,cyan
6.726672602585747,-0.6017377486469149,cyan
9.511995854819995,-2.03164843786252,red
9.519502396151399,-2.0596952430833775,red
9.481769894703094,-2.048477847689674,red
9.503170333530536,-2.095762472411183,red
9.4506455489003,-2.0276921861610715,red
9.45345863312391,-2.071727889049328,red
9.421433697251029,-2.0640816785299654,red
7.044337642815756,0.160143184886837,red
7.190741913210384,0.22818625879258408,red
6.843821950105306,0.28275182623076783,red
7.27273938714797,0.30914834164981453,red
7.072867014494327,0.4131012270227621,red
7.317498440473541,0.45464708081472877,red
8.708649771719891,1.1225805036292875,red
8.695027346890488,1.16051918695903,red
8.671763143912225,1.206485551388742,red
8.742799509965137,1.1796985203459256,red
8.71130883885025,1.252161818487262,red
8.783126656759045,1.1441452428989114,red
8.76096145742677,1.2243544189890425,red
8.809969576285145,1.1983855295000252,red
8.861871757358273,1.1681629983066761,red
9.859587007672404,-2.2377475978421892,magenta
9.870915962679645,-2.2644959126060975,magenta
9.83355384933078,-2.2620831007433653,magenta
9.74236926927942,-2.195130673578683,magenta
9.76661601443355,-2.227367044551351,magenta
9.626909524522915,-2.0861852885124614,magenta
9.715092663779187,-2.186910087709974,magenta
9.773861954877603,-2.246725720736771,magenta
9.663863800459096,-2.1407374312524916,magenta
